ID,処方名,よみ,効能効果,生薬名,分量
s003,胃風湯,いふうとう,体力中等度以下で、慢性に経過する下痢・腹痛・血便のある人,ビャクジュツ,3
s003,胃風湯,いふうとう,体力中等度以下で、慢性に経過する下痢・腹痛・血便のある人,ブクリョウ,3-4
s003,胃風湯,いふうとう,体力中等度以下で、慢性に経過する下痢・腹痛・血便のある人,ケイヒ,2-3
s003,胃風湯,いふうとう,体力中等度以下で、慢性に経過する下痢・腹痛・血便のある人,アワ,2-4
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,ソウジュツ,2.5-3
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,コウボク,2.5-3
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,チンピ,2.5-3
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,チョレイ,2.5-3
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,タクシャ,2.5-3
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,シャクヤク,2.5-3
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,ビャクジュツ,2.5-3
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,ブクリョウ,2.5-3
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,ケイヒ,2-2.5
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,タイソウ,1-3
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,ショウキョウ,1-2
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,カンゾウ,1-2
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,シュクシャ,2
s004,胃苓湯,いれいとう,体力中等度で、嘔吐・下痢・口渇・排尿減少・浮腫のある急性胃腸炎、暑気あたり,オウレン,2
s005,茵蔯蒿湯,いんちんこうとう,体力中等度以上で、のぼせ・口渇・黄疸・かゆみのある、じんましん、口内炎、肝機能障害、黄疸,インチンコウ,4-14
s005,茵蔯蒿湯,いんちんこうとう,体力中等度以上で、のぼせ・口渇・黄疸・かゆみのある、じんましん、口内炎、肝機能障害、黄疸,サンシシ,1.4-5
s005,茵蔯蒿湯,いんちんこうとう,体力中等度以上で、のぼせ・口渇・黄疸・かゆみのある、じんましん、口内炎、肝機能障害、黄疸,ダイオウ,1-3
s006,茵蔯五苓散,いんちんごれいさん,のどが渇いて尿の量が減少し、はきけがある人の、黄疸、急性・慢性肝炎,タクシャ,4.5-6
s006,茵蔯五苓散,いんちんごれいさん,のどが渇いて尿の量が減少し、はきけがある人の、黄疸、急性・慢性肝炎,ブクリョウ,3-4.5
s006,茵蔯五苓散,いんちんごれいさん,のどが渇いて尿の量が減少し、はきけがある人の、黄疸、急性・慢性肝炎,チョレイ,3-4.5
s006,茵蔯五苓散,いんちんごれいさん,のどが渇いて尿の量が減少し、はきけがある人の、黄疸、急性・慢性肝炎,ソウジュツ,3-4.5
s006,茵蔯五苓散,いんちんごれいさん,のどが渇いて尿の量が減少し、はきけがある人の、黄疸、急性・慢性肝炎,ケイヒ,2-3
s006,茵蔯五苓散,いんちんごれいさん,のどが渇いて尿の量が減少し、はきけがある人の、黄疸、急性・慢性肝炎,インチンコウ,3-4
s007,烏薬順気散,うやくじゅんきさん,体力中等度で、めまい・しびれ感のある、中風（脳卒中）、半身不随、麻痺,マオウ,2.5-3
s007,烏薬順気散,うやくじゅんきさん,体力中等度で、めまい・しびれ感のある、中風（脳卒中）、半身不随、麻痺,チンピ,2.5-5
s007,烏薬順気散,うやくじゅんきさん,体力中等度で、めまい・しびれ感のある、中風（脳卒中）、半身不随、麻痺,ウヤク,2.5-5
s007,烏薬順気散,うやくじゅんきさん,体力中等度で、めまい・しびれ感のある、中風（脳卒中）、半身不随、麻痺,センキュウ,2-3
s007,烏薬順気散,うやくじゅんきさん,体力中等度で、めまい・しびれ感のある、中風（脳卒中）、半身不随、麻痺,白彊蚕,1.5-2.5
s007,烏薬順気散,うやくじゅんきさん,体力中等度で、めまい・しびれ感のある、中風（脳卒中）、半身不随、麻痺,キコク,1.5-3
s007,烏薬順気散,うやくじゅんきさん,体力中等度で、めまい・しびれ感のある、中風（脳卒中）、半身不随、麻痺,ビャクシ,1.5-3
s007,烏薬順気散,うやくじゅんきさん,体力中等度で、めまい・しびれ感のある、中風（脳卒中）、半身不随、麻痺,カンゾウ,1-1.5
s007,烏薬順気散,うやくじゅんきさん,体力中等度で、めまい・しびれ感のある、中風（脳卒中）、半身不随、麻痺,キキョウ,2-3
s007,烏薬順気散,うやくじゅんきさん,体力中等度で、めまい・しびれ感のある、中風（脳卒中）、半身不随、麻痺,カンキョウ,1-2.5
s007,烏薬順気散,うやくじゅんきさん,体力中等度で、めまい・しびれ感のある、中風（脳卒中）、半身不随、麻痺,ショウキョウ,1
s007,烏薬順気散,うやくじゅんきさん,体力中等度で、めまい・しびれ感のある、中風（脳卒中）、半身不随、麻痺,タイソウ,1-3
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,ウヤク,2-3.5
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,トウキ,2-3.5
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,シャクヤク,2-3.5
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,コウブシ,2-3.5
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,サンザシ,2-3.5
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,チンピ,2-3.5
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,ブクリョウ,1-3
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,ビャクジュツ,1-3
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,ビンロウジ,1-2
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,エンゴサク,1-2.5
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,タクシャ,1-2
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,モッコウ,0.6-1
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,カンゾウ,0.6-1
s506,烏苓通気散,うりょうつうきさん,体力中等度で、気滞・瘀血があり、脚気・神経痛・腰痛のある人,ショウキョウ,1
s008,温経湯,うんけいとう,体力中等度以下で、手足がほてり唇が乾く人の、月経不順、月経困難、こしけ（おりもの）、更年期障害、不眠、神経症、湿疹・皮膚炎、足腰の冷え、しもやけ、手あれ,ハンゲ,3-5
s008,温経湯,うんけいとう,体力中等度以下で、手足がほてり唇が乾く人の、月経不順、月経困難、こしけ（おりもの）、更年期障害、不眠、神経症、湿疹・皮膚炎、足腰の冷え、しもやけ、手あれ,バクモンドウ,3-10
s008,温経湯,うんけいとう,体力中等度以下で、手足がほてり唇が乾く人の、月経不順、月経困難、こしけ（おりもの）、更年期障害、不眠、神経症、湿疹・皮膚炎、足腰の冷え、しもやけ、手あれ,トウキ,2-3
s008,温経湯,うんけいとう,体力中等度以下で、手足がほてり唇が乾く人の、月経不順、月経困難、こしけ（おりもの）、更年期障害、不眠、神経症、湿疹・皮膚炎、足腰の冷え、しもやけ、手あれ,センキュウ,2
s008,温経湯,うんけいとう,体力中等度以下で、手足がほてり唇が乾く人の、月経不順、月経困難、こしけ（おりもの）、更年期障害、不眠、神経症、湿疹・皮膚炎、足腰の冷え、しもやけ、手あれ,シャクヤク,2
s008,温経湯,うんけいとう,体力中等度以下で、手足がほてり唇が乾く人の、月経不順、月経困難、こしけ（おりもの）、更年期障害、不眠、神経症、湿疹・皮膚炎、足腰の冷え、しもやけ、手あれ,ニンジン,2
s008,温経湯,うんけいとう,体力中等度以下で、手足がほてり唇が乾く人の、月経不順、月経困難、こしけ（おりもの）、更年期障害、不眠、神経症、湿疹・皮膚炎、足腰の冷え、しもやけ、手あれ,ケイヒ,2
s008,温経湯,うんけいとう,体力中等度以下で、手足がほてり唇が乾く人の、月経不順、月経困難、こしけ（おりもの）、更年期障害、不眠、神経症、湿疹・皮膚炎、足腰の冷え、しもやけ、手あれ,アキョウ,2
s008,温経湯,うんけいとう,体力中等度以下で、手足がほてり唇が乾く人の、月経不順、月経困難、こしけ（おりもの）、更年期障害、不眠、神経症、湿疹・皮膚炎、足腰の冷え、しもやけ、手あれ,ボタンピ,2
s008,温経湯,うんけいとう,体力中等度以下で、手足がほてり唇が乾く人の、月経不順、月経困難、こしけ（おりもの）、更年期障害、不眠、神経症、湿疹・皮膚炎、足腰の冷え、しもやけ、手あれ,カンゾウ,2
s008,温経湯,うんけいとう,体力中等度以下で、手足がほてり唇が乾く人の、月経不順、月経困難、こしけ（おりもの）、更年期障害、不眠、神経症、湿疹・皮膚炎、足腰の冷え、しもやけ、手あれ,ショウキョウ,1
s008,温経湯,うんけいとう,体力中等度以下で、手足がほてり唇が乾く人の、月経不順、月経困難、こしけ（おりもの）、更年期障害、不眠、神経症、湿疹・皮膚炎、足腰の冷え、しもやけ、手あれ,ゴシュユ,1-3
s009,温清飲,うんせいいん,体力中等度で、皮膚はかさかさして色つやが悪く、のぼせる人の、月経不順、月経困難、血の道症、更年期障害、神経症、湿疹・皮膚炎,トウキ,3-4
s009,温清飲,うんせいいん,体力中等度で、皮膚はかさかさして色つやが悪く、のぼせる人の、月経不順、月経困難、血の道症、更年期障害、神経症、湿疹・皮膚炎,ジオウ,3-4
s009,温清飲,うんせいいん,体力中等度で、皮膚はかさかさして色つやが悪く、のぼせる人の、月経不順、月経困難、血の道症、更年期障害、神経症、湿疹・皮膚炎,シャクヤク,3-4
s009,温清飲,うんせいいん,体力中等度で、皮膚はかさかさして色つやが悪く、のぼせる人の、月経不順、月経困難、血の道症、更年期障害、神経症、湿疹・皮膚炎,センキュウ,3-4
s009,温清飲,うんせいいん,体力中等度で、皮膚はかさかさして色つやが悪く、のぼせる人の、月経不順、月経困難、血の道症、更年期障害、神経症、湿疹・皮膚炎,オウレン,1-2
s009,温清飲,うんせいいん,体力中等度で、皮膚はかさかさして色つやが悪く、のぼせる人の、月経不順、月経困難、血の道症、更年期障害、神経症、湿疹・皮膚炎,オウゴン,1.5-3
s009,温清飲,うんせいいん,体力中等度で、皮膚はかさかさして色つやが悪く、のぼせる人の、月経不順、月経困難、血の道症、更年期障害、神経症、湿疹・皮膚炎,サンシシ,1.5-2
s009,温清飲,うんせいいん,体力中等度で、皮膚はかさかさして色つやが悪く、のぼせる人の、月経不順、月経困難、血の道症、更年期障害、神経症、湿疹・皮膚炎,オウバク,1-1.5
s010,温胆湯,うんたんとう,体力中等度で、胸腹部に重苦しい感じがあり、不眠・不安・めまい・悪心・動悸のある人,ハンゲ,4-6
s010,温胆湯,うんたんとう,体力中等度で、胸腹部に重苦しい感じがあり、不眠・不安・めまい・悪心・動悸のある人,ブクリョウ,4-6
s010,温胆湯,うんたんとう,体力中等度で、胸腹部に重苦しい感じがあり、不眠・不安・めまい・悪心・動悸のある人,ショウキョウ,1-2
s010,温胆湯,うんたんとう,体力中等度で、胸腹部に重苦しい感じがあり、不眠・不安・めまい・悪心・動悸のある人,チンピ,2-3
s010,温胆湯,うんたんとう,体力中等度で、胸腹部に重苦しい感じがあり、不眠・不安・めまい・悪心・動悸のある人,チクジョ,2-3
s010,温胆湯,うんたんとう,体力中等度で、胸腹部に重苦しい感じがあり、不眠・不安・めまい・悪心・動悸のある人,キジツ,1-2
s010,温胆湯,うんたんとう,体力中等度で、胸腹部に重苦しい感じがあり、不眠・不安・めまい・悪心・動悸のある人,カンゾウ,1-2
s010,温胆湯,うんたんとう,体力中等度で、胸腹部に重苦しい感じがあり、不眠・不安・めまい・悪心・動悸のある人,オウレン,1
s010,温胆湯,うんたんとう,体力中等度で、胸腹部に重苦しい感じがあり、不眠・不安・めまい・悪心・動悸のある人,サンソウニン,1-3
s010,温胆湯,うんたんとう,体力中等度で、胸腹部に重苦しい感じがあり、不眠・不安・めまい・悪心・動悸のある人,タイソウ,2
s011,越婢加朮湯,えっぴかじゅつとう,体力中等度以上で、浮腫があり関節が腫れて痛む人の、関節炎、関節リウマチ、浮腫、湿疹・皮膚炎、夜尿症,マオウ,4-6
s011,越婢加朮湯,えっぴかじゅつとう,体力中等度以上で、浮腫があり関節が腫れて痛む人の、関節炎、関節リウマチ、浮腫、湿疹・皮膚炎、夜尿症,セッコウ,8-10
s011,越婢加朮湯,えっぴかじゅつとう,体力中等度以上で、浮腫があり関節が腫れて痛む人の、関節炎、関節リウマチ、浮腫、湿疹・皮膚炎、夜尿症,ショウキョウ,1
s011,越婢加朮湯,えっぴかじゅつとう,体力中等度以上で、浮腫があり関節が腫れて痛む人の、関節炎、関節リウマチ、浮腫、湿疹・皮膚炎、夜尿症,タイソウ,3-5
s011,越婢加朮湯,えっぴかじゅつとう,体力中等度以上で、浮腫があり関節が腫れて痛む人の、関節炎、関節リウマチ、浮腫、湿疹・皮膚炎、夜尿症,カンゾウ,1.5-2
s011,越婢加朮湯,えっぴかじゅつとう,体力中等度以上で、浮腫があり関節が腫れて痛む人の、関節炎、関節リウマチ、浮腫、湿疹・皮膚炎、夜尿症,ビャクジュツ,3-4
s012,越婢加朮附湯,えっぴかじゅつぶとう,体力中等度以上で、浮腫があり関節が腫れて痛む人の、関節炎、関節リウマチ、神経痛,マオウ,4-6
s012,越婢加朮附湯,えっぴかじゅつぶとう,体力中等度以上で、浮腫があり関節が腫れて痛む人の、関節炎、関節リウマチ、神経痛,セッコウ,8-10
s012,越婢加朮附湯,えっぴかじゅつぶとう,体力中等度以上で、浮腫があり関節が腫れて痛む人の、関節炎、関節リウマチ、神経痛,ビャクジュツ,3-4
s012,越婢加朮附湯,えっぴかじゅつぶとう,体力中等度以上で、浮腫があり関節が腫れて痛む人の、関節炎、関節リウマチ、神経痛,加工ブシ,0.3-1
s012,越婢加朮附湯,えっぴかじゅつぶとう,体力中等度以上で、浮腫があり関節が腫れて痛む人の、関節炎、関節リウマチ、神経痛,ショウキョウ,1
s012,越婢加朮附湯,えっぴかじゅつぶとう,体力中等度以上で、浮腫があり関節が腫れて痛む人の、関節炎、関節リウマチ、神経痛,カンゾウ,1.5-2
s012,越婢加朮附湯,えっぴかじゅつぶとう,体力中等度以上で、浮腫があり関節が腫れて痛む人の、関節炎、関節リウマチ、神経痛,タイソウ,3-4
s013,延年半夏湯,えんねんはんげとう,体力中等度で、みぞおちが痞えて苦しく胃部に圧重感のある、慢性胃炎、胃潰瘍、胆石症,ハンゲ,3-5
s013,延年半夏湯,えんねんはんげとう,体力中等度で、みぞおちが痞えて苦しく胃部に圧重感のある、慢性胃炎、胃潰瘍、胆石症,サイコ,2-5
s013,延年半夏湯,えんねんはんげとう,体力中等度で、みぞおちが痞えて苦しく胃部に圧重感のある、慢性胃炎、胃潰瘍、胆石症,別甲,2-5
s013,延年半夏湯,えんねんはんげとう,体力中等度で、みぞおちが痞えて苦しく胃部に圧重感のある、慢性胃炎、胃潰瘍、胆石症,キキョウ,2-4
s013,延年半夏湯,えんねんはんげとう,体力中等度で、みぞおちが痞えて苦しく胃部に圧重感のある、慢性胃炎、胃潰瘍、胆石症,ビンロウジ,2-4
s013,延年半夏湯,えんねんはんげとう,体力中等度で、みぞおちが痞えて苦しく胃部に圧重感のある、慢性胃炎、胃潰瘍、胆石症,ニンジン,0.8-2
s013,延年半夏湯,えんねんはんげとう,体力中等度で、みぞおちが痞えて苦しく胃部に圧重感のある、慢性胃炎、胃潰瘍、胆石症,ショウキョウ,1-2
s013,延年半夏湯,えんねんはんげとう,体力中等度で、みぞおちが痞えて苦しく胃部に圧重感のある、慢性胃炎、胃潰瘍、胆石症,キジツ,0.5-2
s013,延年半夏湯,えんねんはんげとう,体力中等度で、みぞおちが痞えて苦しく胃部に圧重感のある、慢性胃炎、胃潰瘍、胆石症,ゴシュユ,0.5-2
s014,黄耆桂枝五物湯,おうぎけいしごもつとう,体力虚弱で、肌あれや手足のしびれのある、血色不良、皮膚乾燥、四肢麻痺,オウギ,3
s014,黄耆桂枝五物湯,おうぎけいしごもつとう,体力虚弱で、肌あれや手足のしびれのある、血色不良、皮膚乾燥、四肢麻痺,シャクヤク,3
s014,黄耆桂枝五物湯,おうぎけいしごもつとう,体力虚弱で、肌あれや手足のしびれのある、血色不良、皮膚乾燥、四肢麻痺,ケイヒ,3
s014,黄耆桂枝五物湯,おうぎけいしごもつとう,体力虚弱で、肌あれや手足のしびれのある、血色不良、皮膚乾燥、四肢麻痺,ショウキョウ,1.5-2
s014,黄耆桂枝五物湯,おうぎけいしごもつとう,体力虚弱で、肌あれや手足のしびれのある、血色不良、皮膚乾燥、四肢麻痺,タイソウ,3-4
s015,黄耆建中湯,おうぎけんちゅうとう,体力虚弱で、疲労しやすく血色のすぐれない人の、虚弱体質、疲労倦怠、病後・術後の体力低下、寝汗,ケイヒ,3-4
s015,黄耆建中湯,おうぎけんちゅうとう,体力虚弱で、疲労しやすく血色のすぐれない人の、虚弱体質、疲労倦怠、病後・術後の体力低下、寝汗,ショウキョウ,1-2
s015,黄耆建中湯,おうぎけんちゅうとう,体力虚弱で、疲労しやすく血色のすぐれない人の、虚弱体質、疲労倦怠、病後・術後の体力低下、寝汗,タイソウ,3-4
s015,黄耆建中湯,おうぎけんちゅうとう,体力虚弱で、疲労しやすく血色のすぐれない人の、虚弱体質、疲労倦怠、病後・術後の体力低下、寝汗,シャクヤク,6
s015,黄耆建中湯,おうぎけんちゅうとう,体力虚弱で、疲労しやすく血色のすぐれない人の、虚弱体質、疲労倦怠、病後・術後の体力低下、寝汗,カンゾウ,2-3
s015,黄耆建中湯,おうぎけんちゅうとう,体力虚弱で、疲労しやすく血色のすぐれない人の、虚弱体質、疲労倦怠、病後・術後の体力低下、寝汗,オウギ,1.5-4
s015,黄耆建中湯,おうぎけんちゅうとう,体力虚弱で、疲労しやすく血色のすぐれない人の、虚弱体質、疲労倦怠、病後・術後の体力低下、寝汗,コウイ,20
s016,黄芩湯,おうごんとう,体力中等度以上で、腹痛・下痢・腹部不快感のある人,オウゴン,4-9
s016,黄芩湯,おうごんとう,体力中等度以上で、腹痛・下痢・腹部不快感のある人,シャクヤク,2-8
s016,黄芩湯,おうごんとう,体力中等度以上で、腹痛・下痢・腹部不快感のある人,カンゾウ,2-6
s016,黄芩湯,おうごんとう,体力中等度以上で、腹痛・下痢・腹部不快感のある人,タイソウ,4-9
s017,応鐘散（芎黄散）,おうしょうさん（きゅうおうさん）,体力中等度以上で、便秘傾向のある人の月経不順、月経困難症、更年期障害、頭痛,ダイオウ,1
s017,応鐘散（芎黄散）,おうしょうさん（きゅうおうさん）,体力中等度以上で、便秘傾向のある人の月経不順、月経困難症、更年期障害、頭痛,センキュウ,2
s018,黄連阿膠湯,おうれんあきょうとう,体力中等度以下で、不眠・不安・のぼせ感・動悸のある人,オウレン,3-4
s018,黄連阿膠湯,おうれんあきょうとう,体力中等度以下で、不眠・不安・のぼせ感・動悸のある人,シャクヤク,2-2.5
s018,黄連阿膠湯,おうれんあきょうとう,体力中等度以下で、不眠・不安・のぼせ感・動悸のある人,オウゴン,1-2
s018,黄連阿膠湯,おうれんあきょうとう,体力中等度以下で、不眠・不安・のぼせ感・動悸のある人,アキョウ,3
s018,黄連阿膠湯,おうれんあきょうとう,体力中等度以下で、不眠・不安・のぼせ感・動悸のある人,卵黄1個,
s019,黄連解毒湯,おうれんげどくとう,体力中等度以上で、のぼせぎみで顔色赤く、いらいらして落ち着かない傾向のある、鼻出血、不眠症、神経症、胃炎、二日酔い、血の道症、めまい、動悸、更年期障害、湿疹・皮膚炎、皮膚そう痒症,オウレン,1.5-2
s019,黄連解毒湯,おうれんげどくとう,体力中等度以上で、のぼせぎみで顔色赤く、いらいらして落ち着かない傾向のある、鼻出血、不眠症、神経症、胃炎、二日酔い、血の道症、めまい、動悸、更年期障害、湿疹・皮膚炎、皮膚そう痒症,オウゴン,3
s019,黄連解毒湯,おうれんげどくとう,体力中等度以上で、のぼせぎみで顔色赤く、いらいらして落ち着かない傾向のある、鼻出血、不眠症、神経症、胃炎、二日酔い、血の道症、めまい、動悸、更年期障害、湿疹・皮膚炎、皮膚そう痒症,オウバク,1.5-3
s019,黄連解毒湯,おうれんげどくとう,体力中等度以上で、のぼせぎみで顔色赤く、いらいらして落ち着かない傾向のある、鼻出血、不眠症、神経症、胃炎、二日酔い、血の道症、めまい、動悸、更年期障害、湿疹・皮膚炎、皮膚そう痒症,サンシシ,2-3
s020,黄連湯,おうれんとう,体力中等度で、胸がつかえみぞおちのあたりが重苦しく悪心・嘔吐のある人の、急性胃腸炎、二日酔い,オウレン,3
s020,黄連湯,おうれんとう,体力中等度で、胸がつかえみぞおちのあたりが重苦しく悪心・嘔吐のある人の、急性胃腸炎、二日酔い,カンゾウ,3
s020,黄連湯,おうれんとう,体力中等度で、胸がつかえみぞおちのあたりが重苦しく悪心・嘔吐のある人の、急性胃腸炎、二日酔い,カンキョウ,3
s020,黄連湯,おうれんとう,体力中等度で、胸がつかえみぞおちのあたりが重苦しく悪心・嘔吐のある人の、急性胃腸炎、二日酔い,ニンジン,2-3
s020,黄連湯,おうれんとう,体力中等度で、胸がつかえみぞおちのあたりが重苦しく悪心・嘔吐のある人の、急性胃腸炎、二日酔い,ケイヒ,3
s020,黄連湯,おうれんとう,体力中等度で、胸がつかえみぞおちのあたりが重苦しく悪心・嘔吐のある人の、急性胃腸炎、二日酔い,タイソウ,3
s020,黄連湯,おうれんとう,体力中等度で、胸がつかえみぞおちのあたりが重苦しく悪心・嘔吐のある人の、急性胃腸炎、二日酔い,ハンゲ,5-8
s021,乙字湯,おつじとう,体力中等度以上で、大便が硬く便秘傾向のある人の、痔核（いぼ痔）、きれ痔、便秘、肛門部の痛み,トウキ,4-6
s021,乙字湯,おつじとう,体力中等度以上で、大便が硬く便秘傾向のある人の、痔核（いぼ痔）、きれ痔、便秘、肛門部の痛み,サイコ,4-6
s021,乙字湯,おつじとう,体力中等度以上で、大便が硬く便秘傾向のある人の、痔核（いぼ痔）、きれ痔、便秘、肛門部の痛み,オウゴン,3-4
s021,乙字湯,おつじとう,体力中等度以上で、大便が硬く便秘傾向のある人の、痔核（いぼ痔）、きれ痔、便秘、肛門部の痛み,カンゾウ,1.5-3
